disease_name,age_range,gender,body_parts,symptoms,treatment,url
Dizziness,,Both men and women but more common in women,"Brain
Ear","A feeling of imbalance or loss of balance., A person may be suspected to have dizziness if they suffer from the following:, Giddiness, lightheadedness, or feeling faint., A sensation where the person feels he/she is spinning or the world around him/her is spinning., A sensation of abnormal swaying such as feeling of moving from side to side., A sensation of nausea (may or may not be accompanied by vomiting).","Often, episodes of dizziness are mild and do not require any treatment as they resolve on their own. The treatment for dizziness is necessary when the episodes do not go away or are so severe that they interfere with a patient’s day-to-day activities. The treatment for dizziness depends on the cause and severity of symptoms. Here are some medicines which are generally suggested:",https://www.1mg.com/diseases/dizziness-909
Impacted Wisdom Tooth,,Both men and women but more common in women,"Teeth
Gums","The most common signs and symptoms of impacted wisdom teeth include:, Swollen lymph nodes, Impacted teeth can create hard-to-reach areas in the mouth, increasing the risk of plaque buildup, cavities, and gum infections. Proper oral hygiene is essential to prevent complications and keep the mouth healthy.  Explore Our Oral Care, Ear pain, Headache, Swelling, Pain or discomfort, Bad breath, Difficulty opening mouth, Jaw stiffness, Unpleasant taste or dour in the mouth, Red or bleeding Gums",,https://www.1mg.com/diseases/impacted-wisdom-tooth-1044
Airplane ear,,Both men and women,Ear,,,https://www.1mg.com/diseases/airplane-ear-970
Zika virus disease,,Both men and women but more common in women,Whole body,"The incubation period (the time from exposure to symptoms) of Zika virus disease is 3 to 14 days. Symptoms are usually indistinguishable from other diseases such as dengue & chikungunya and persist for 2 to 7 days. The symptoms include:, Muscle pain, Fever, Constipation, Rash, Vomiting, Abdominal pain, Malaise, Hearing impairment, Joint pain, Diarrhoea, Patients might also experience some other symptoms such as:, Conjunctivitis, Photophobia, Small ulcers on the oral mucosa, Headache",There is no specific treatment or vaccine available for Zika virus disease. The treatment is usually aimed to reduce the symptoms. Most of the patients usually recover on their own by taking proper rest & supportive care.,https://www.1mg.com/diseases/zika-virus-disease-919
Oral thrush,,Both men and women,"Tongue
Inner cheeks
Roof of the mouth
Gums
Tonsils
Throat
Esophagus","Cottage cheese is like white coating which cannot be rubbed off easily., Cotton-like feeling in the mouth, Pain while eating or swallowing (if candidiasis is in the food pipe), Cracking and redness at the corners of the mouth, Redness or soreness of the mouth, Oral thrush can have many symptoms in the mouth, throat, and food pipe. These include:, Thick white or cream-colored deposits on inner cheeks, tongue, the roof of the mouth, and throat, Difficulty in feeding, Loss of taste, Rashes on the nappy","Candida infections today are highly prevalent, especially with the increase in people wearing removable dentures and an overall increase in poor oral hygiene habits. The drugs of choice are antifungal agents which can be classified into:",https://www.1mg.com/diseases/oral-thrush-951
Cholera,,Both males and females,"Small intestine
Large intestine","Cholera is asymptomatic in most of the individuals. However, even the asymptomatic individual can shed the bacteria into the environment through their feces for up to 10 days.",,https://www.1mg.com/diseases/cholera-793
Choking,,Both men and women,"Throat
Pharynx
Larynx
Trachea
Lower respiratory tract",The signs and symptoms of choking vary according to the severity of the obstruction. These include,,https://www.1mg.com/diseases/choking-615
Smelly feet,,Both men and women,Feet,,,https://www.1mg.com/diseases/smelly-feet-1016
Tuberculosis (TB),,Both men and women but more common in men,"Lungs
Intestine
Bones
Brain
Blood","Chest pain, Cough that lasts for more than 2 weeks with or without fever, Tiredness, Tuberculosis of the kidneys can cause blood in the urine., Loss of weight, Bone TB involving the spine can cause back pain and neurological complications like paraplegia where the lower limbs become paralyzed., Presence of blood in the sputum, Pulmonary tuberculosis or TB of the lungs is the most common type of TB. Other types such as TB of the bones, lymph nodes, brain, kidneys, intestine, and genitals are also seen. Symptoms of Pulmonary TB include:, Night sweats and chills, Infection involving the brain and its covering membrane can cause seizures, headaches, neurological abnormalities, etc., Occasionally, tuberculosis may also affect other organs, such as bones, stomach, etc., and presents with common symptoms like fever, weight and appetite loss and some specific symptoms related to the organ system involved like:, Loss of appetite, Gastrointestinal system disease can cause nausea, vomiting, diarrhea, malabsorption, etc., Fever, especially an evening rise in body temperature, Breathe easier and protect your lungs. Explore trusted respiratory care products to give your lungs the care they deserve. Shop Now",The treatment for tuberculosis depends on the type of infection. It includes:,https://www.1mg.com/diseases/tuberculosis-tb-256
Palpitations,,Both men and women,"Chest
Neck
Heart","Chest pain, Palpitation associated with chest pain suggests coronary artery disease, or if the chest pain is relieved by leaning forward, pericardial disease is suspected. Palpitation associated with light-headedness, fainting or near fainting suggest low blood pressure and may signify a life-threatening abnormal heart rhythm. If a benign cause for these concerning symptoms cannot be found at the initial visit, then ambulatory monitoring or prolonged heart monitoring in the hospital might be warranted.   Noncardiac symptoms should also be elicited since the palpitations may be caused by a normal heart responding to a metabolic or inflammatory condition. Weight loss suggests hyperthyroidism. Palpitation can be precipitated by vomiting or diarrhea that leads to electrolyte disorders and hypovolemia. Hyperventilation, hand tingling, and nervousness are common when anxiety or panic disorder is the cause of the palpitations., Shortness of breath, Flip-flopping of heat beat, Pounding heartbeat, Being unpleasantly aware of your own heartbeat, Heart is fluttering rapidly, Dizziness, Fainting, Sweating, Aditionally, symptoms that can be associated with palpitations are:, Headache, It is important to understand that heart palpitations are a symptom of a condition or a state of the body and not a medical disease in itself. Palpitations are sensations that make a person feel like their heart is pounding or racing. One can feel heart palpitations in the throat or neck too. The symptoms of heart palpitations include the following:, Feeling like your heart has skipped a beat or stopped beats",Generally palpitations that aren't caused by an underlying medical condition tend to resolve on their own. If your doctor doesn't suspect a medical condition behind your palpitations they might recommend the following steps to avoid the triggers that cause palpitations.,https://www.1mg.com/diseases/palpitations-930
